date,is_gap_sum,is_outlier_sum,psi30_r_4h_robust_z,psi30_mom_z_1w_robust_z,psi30_rv_rs_1w_robust_z,psi30_vov_2w_robust_z,psi30_lev_ratio_1w_robust_z,psi30_bb_z_1m_robust_z,psi30_amihud_1w_robust_z
2010-09-07,0,0,,,,,,,
2010-09-08,0,0,,,,,,,
2010-09-09,0,0,,,,,,,
2010-09-10,0,0,,,,,,,
2010-09-11,0,0,,,,,,,
2010-09-12,0,0,,,,,,,
2010-09-13,0,0,,,,,,,
2010-09-14,0,0,,,,,,,
2010-09-15,0,0,,,,,,,
2010-09-16,0,0,,,,,,,
2010-09-17,0,0,,,,,,,
2010-09-18,0,0,,,,,,,
2010-09-19,0,0,,,,,,,
2010-09-20,0,0,,,,,,,
2010-09-21,0,0,,,,,,,
2010-09-22,0,0,,,,,,,
2010-09-23,0,0,,,,,,,
2010-09-24,0,0,,,,,,,
2010-09-25,0,0,,,,,,,
2010-09-26,0,0,,,,,,,
2010-09-27,0,0,,,,,,,
2010-09-28,0,0,,,,,,,
2010-09-29,0,0,,,,,,,
2010-09-30,0,0,,,,,,,
2010-10-01,0,0,,,,,,,
2010-10-02,0,0,,,,,,,
2010-10-03,0,0,,,,,,,
2010-10-04,0,0,,,,,,,
2010-10-05,0,0,,,,,,,
2010-10-06,0,0,,,,,,,
2010-10-07,0,0,7.932231273270626,12.291737482847346,10.831199150590766,12.407745618331122,12.47050833966555,26.301307395403313,10.472227802360802
2010-10-08,0,2,11.047729565494826,12.399871053921263,10.592586339175078,12.562021962081849,10.445800424184062,11.735975127732306,12.40094706897382
2010-10-09,0,1,10.891785669122147,10.47382370626006,11.516130426719204,11.514232091529388,10.556222388823695,10.288820226476735,12.504364348632524
2010-10-10,0,1,4.5686682737180675,10.566209914350512,12.326356574789058,12.36839836625571,12.43385588583866,10.566209914350512,10.570168503197689
2010-10-11,0,0,8.43095198296708,9.256907921441018,10.475203955715546,12.288982206914165,10.603382744476487,10.825579561754655,10.47522387663349
2010-10-12,0,0,6.753240025994149,9.077192541170838,10.458758459051785,12.414203156336782,9.077192541170836,10.968332772687438,10.543309217888858
2010-10-13,0,0,8.136227292905325,10.757071739967015,12.310689385208804,12.53074010324517,10.643796942509834,10.61870338980844,10.888742132053533
2010-10-14,0,0,9.363751264402339,10.477787987334573,10.557949734791594,12.453497578841493,10.649923568807028,7.58135487628278,8.986261743638568
2010-10-15,0,0,2.5934493632922018,7.653626491156186,12.568075882982612,12.5574575811569,7.53765025995025,10.735172065804342,8.745959655999863
2010-10-16,0,0,3.642781990319475,10.566209914350512,12.434164689867945,7.68295992805843,9.093476405726921,12.270058934205746,9.019944808603162
2010-10-17,0,0,6.314530305311755,8.901748198029061,12.568384687011896,12.418101188210414,12.433855885838662,12.136248912633809,8.75718353003955
2010-10-18,0,0,7.605536365471927,9.017724429234997,12.434164689867945,12.358061443023304,12.433855885838662,11.514594829868834,10.566518718379797
2010-10-19,0,0,4.927013110632924,10.566209914350512,10.566209914350512,12.303180027156918,6.174376321571141,12.24605024449465,10.566209914350512
2010-10-20,0,0,4.994293631941947,9.017724429234997,10.566209914350512,12.534964753353652,9.017724429234997,11.512810335715578,10.569309529464359
2010-10-21,0,0,7.839582452726593,7.531518663933299,9.017724429234997,10.629358076248874,6.17355232187144,12.325771513342113,9.130638957963122
2010-10-22,0,0,5.006879928398286,10.566209914350514,12.303344686231753,12.420709277823729,6.173552321871439,10.38244224036498,8.856651293888358
2010-10-23,0,0,7.53765025995025,10.735172065804344,12.43385588583866,12.43385588583866,12.43385588583866,10.663170306615175,10.593552350208764
2010-10-24,0,3,9.313547060408142,8.977629619536794,9.017724429234997,7.653626491156187,9.017724429234997,7.463710779070414,9.330690696714331
2010-10-25,0,1,7.771185217996482,7.53765025995025,10.498107402549024,12.433855885838662,7.537959063979532,8.901748198029061,10.577412507733017
2010-10-26,0,0,3.642781990319475,9.017724429234997,12.43385588583866,12.433855885838662,10.478155734556783,9.331709987774815,12.434164689867943
2010-10-27,0,0,6.258423793831203,10.497798598519744,12.43385588583866,12.433855885838662,10.799472040732876,9.09685317949895,10.799472040732876
2010-10-28,0,0,10.647473339474935,7.53765025995025,12.43385588583866,12.433855885838662,12.434164689867945,10.44178324132849,9.170238221166535
2010-10-29,0,0,6.397200880793607,7.53765025995025,10.799163236703595,12.433855885838664,12.434164689867945,10.525691026255567,10.723971078124691
2010-10-30,0,0,7.591516194281591,9.017724429234997,12.43385588583866,12.433855885838664,10.799472040732876,10.566209914350512,7.554308523883476
2010-10-31,0,0,5.040392663640721,9.202111976271702,10.566209914350512,10.497798598519744,8.902057002058342,9.011902783304054,12.435710627112272
2010-11-01,0,0,7.655080787486243,7.53765025995025,12.43385588583866,12.43385588583866,12.434164689867943,12.310191262988235,11.51466507698919
2010-11-02,0,0,6.133457512173234,10.566209914350516,12.43385588583866,12.43385588583866,12.43385588583866,12.404113764075525,12.435710627112272
2010-11-03,0,0,7.589054615465157,10.657378841706059,9.202111976271702,10.566209914350512,10.599588571073944,12.347823791874184,10.64986076307546
2010-11-04,0,0,3.5629151725541135,7.53765025995025,12.43385588583866,12.43385588583866,10.566209914350516,9.202111976271702,12.435710627112272
2010-11-05,0,0,9.170066364009887,10.799163236703595,12.43385588583866,12.43385588583866,12.433855885838664,9.104034150112676,10.924389871247474
2010-11-06,0,0,4.7942590881114135,9.202111976271704,10.566209914350512,10.799163236703595,9.017724429234997,9.017724429234997,9.240762755475263
2010-11-07,0,0,6.640542719934487,10.566209914350516,12.433855885838664,9.093476405726921,10.799163236703595,9.017724429234997,12.304581819446799
2010-11-08,0,0,9.16501097216824,9.017724429234997,10.497798598519744,11.512810335715578,12.43385588583866,7.53765025995025,12.304890623476084
